nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2
1993.02,2123.09,2089.34,2066.59,3815.91,3439.4,9636.56,10816.1,3.66174,2.63532,0.852601,-0.0380582,-0.103754,258.08,1.0867
1986.37,2118.36,2093.71,2060.35,3149.41,2786.81,10772,11049.5,3.90104,2.29952,0.763695,-0.0380582,0.270129,258.168,2.34343
1995.87,2120.72,2098.08,2067.62,2647.5,2348.66,8550.41,9495.73,3.86983,2.32119,0.650542,0.0332196,0.054863,258.168,1.0867
1994.92,2125.45,2093.71,2070.74,3435.72,2820.42,7893.14,9685.66,3.70336,2.77614,0.699036,-0.0380582,0.542043,258.257,0.678261
1986.37,2119.54,2099.17,2064.51,3441.51,3568.06,8328.59,8573.52,4.15075,2.41868,0.755613,-0.133095,0.19082,258.345,-2.27506
2000.61,2123.09,2103.54,2070.74,2765.72,3612.11,6369.91,6813.77,4.08832,2.12621,0.561637,-0.0855768,-0.30769,258.345,2.31201
1996.82,2127.81,2102.45,2075.94,4407.08,4547.54,5760.29,5806.88,3.67214,2.592,0.408072,-0.109336,0.122842,258.434,0.646842
1990.17,2124.27,2107.91,2068.66,4000.22,4283.26,6869.44,5552.88,4.08832,2.05038,0.383825,-0.133095,-0.30769,258.611,-1.45818
2000.61,2127.81,2105.73,2073.86,3282.7,4362.08,6088.93,6500.26,4.44207,2.26703,0.545472,-0.0261786,-0.738221,258.699,-3.94023
2000.61,2133.71,2102.45,2080.1,4702.66,5205.93,6475.08,7475.1,3.85942,2.20203,0.64246,-0.109336,-0.443647,258.876,-2.65208
1993.02,2125.45,2110.1,2071.78,4389.7,4770.09,7809.34,7321.78,4.11953,2.10454,0.715201,-0.121216,-0.8062,258.965,-0.986908
2002.51,2132.53,2105.73,2075.94,3591.04,4192.84,6994.33,7163.89,4.08832,2.33202,0.868766,-0.0618175,-1.08944,259.142,-0.57847
2001.56,2137.25,2104.64,2082.18,4831.33,4957.88,8412.39,9129.59,3.75538,2.21287,0.77986,-0.0499379,-0.511626,259.23,0.646842
1995.87,2128.99,2112.29,2074.9,3720.87,4008.54,9958.62,10436.2,4.32762,2.07205,0.876848,-0.0855768,-0.942157,259.319,2.75187
2002.51,2134.89,2103.54,2074.9,2989.44,3244.67,8961.21,10230.3,3.81781,2.37535,0.957671,0.02134,-0.942157,259.407,2.31201
2001.56,2138.43,2103.54,2079.06,3697.68,3167,9735.15,10930.5,3.69295,2.66782,0.836436,-0.0142989,-0.511626,259.407,-1.01833
1996.82,2128.99,2114.47,2078.02,3310.52,3107.89,11090.8,11720,4.10913,2.32119,0.990001,-0.0499379,-0.443647,259.496,0.206987
2002.51,2133.71,2107.91,2075.94,2566.35,2748.56,8770.6,10971.7,3.85942,2.11537,1.00617,-0.0855768,-0.942157,259.584,0.206987
2002.51,2138.43,2105.73,2081.14,3030.01,2595.55,9212.62,10324.1,3.82821,2.33202,0.796024,-0.0499379,-0.375668,259.584,-0.609889
2000.61,2130.17,2116.66,2080.1,2451.6,2306.93,9015.43,9044.92,3.797,2.21287,0.723283,-0.0380582,-0.726891,259.584,-1.42676
2003.46,2137.25,2114.47,2078.02,2696.18,2350.97,7191.51,8502.58,3.82821,2.35368,0.626295,-0.0974564,-0.79487,259.673,0.646842
2004.41,2140.79,2110.1,2082.18,3640.89,2887.66,7475.78,8427.06,3.65133,2.60283,0.480813,-0.0855768,-0.511626,259.673,-1.01833
2005.36,2134.89,2119.93,2088.41,2428.41,2929.39,6660.75,6637.55,4.14034,2.01788,0.141355,-0.144975,-1.42934,259.761,-0.547052
2007.26,2139.61,2116.66,2085.3,2538.53,2917.79,4894.34,5374.38,3.81781,2.37535,0.39999,-0.204373,-1.2254,259.85,3.60016
2009.16,2145.51,2112.29,2084.26,4155.54,3717.59,6005.13,5362.94,3.78659,2.71115,0.133273,-0.133095,-1.08944,259.938,1.93499
2007.26,2136.07,2125.4,2091.53,3030.01,3650.37,5715.93,5035.71,4.70218,2.00705,-0.052621,-0.156855,-1.79189,259.938,-1.04974
2012.01,2143.15,2118.84,2089.45,3963.12,4658.81,4638,5280.56,4.00509,2.34285,0.165602,-0.275651,-1.93918,260.027,-1.42676
2014.86,2150.23,2114.47,2087.37,4481.27,4453.65,5775.09,5033.41,3.92185,2.21287,0.230261,-0.192494,-1.71258,260.115,0.238405
2012.01,2139.61,2123.21,2093.61,4386.22,4950.92,5819.45,5044.85,4.07792,2.06121,0.53739,-0.109336,-2.27907,260.204,1.46372
2012.96,2146.69,2116.66,2088.41,4466.2,4784,5758.65,5937.32,3.86983,2.09371,0.117108,-0.204373,-1.93918,260.292,0.615424
2016.76,2152.59,2113.38,2080.1,4491.7,4321.51,8683.51,8628.44,3.8074,2.18037,0.303002,-0.133095,-1.57662,260.469,-1.45818
2016.76,2141.97,2119.93,2089.45,4010.65,3949.42,8915.2,9809.23,3.83861,2.21287,0.254508,-0.133095,-2.21109,260.469,0.206987
2015.81,2149.05,2114.47,2087.37,4322.46,3969.13,8990.79,10633,3.73457,2.11537,0.432319,-0.192494,-1.6446,260.558,2.31201
2016.76,2153.77,2115.56,2080.1,5351.79,4513.92,11133.5,12639.9,3.91145,2.20203,0.424237,-0.228132,-1.2254,260.735,1.05528
2020.56,2144.33,2118.84,2092.57,4007.18,4296,9981.63,11855,4.12994,2.10454,0.77986,-0.168734,-2.07513,260.735,-1.86662
