nwl1,nwl2,nwl3,nwl4,fprd1,fprd2,fprd3,fprd4,pstr1,pstr3,astrw,g2,ny,vcrf,v2,t
"2002,42","2134,04","2106,98","2078,11","3960,2","3796,44","5940,85","5566,56","5,55022","2,89275","-0,763227","-0,216081","-1,31542","259,101","-0,191625","0,840000000000001"
"2011,92","2131,68","2110,26","2087,47","3517,4","3279,47","5896,48","6264,51","5,30051","3,30438","-0,795557","-0,132924","-1,45137","259,19","2,32184","0,850000000000001"
"2003,37","2139,94","2115,73","2076,03","4557,16","4489,6","5516,9","5493,34","4,98837","2,41613","-0,625828","-0,216081","-1,81393","259,278","2,73028","0,860000000000001"
"2007,17","2135,22","2109,17","2086,43","4763,49","4992,68","5636,85","4983,03","5,52941","3,0769","-0,520757","-0,227961","-1,81393","259,278","1,47354","0,870000000000001"
"2016,67","2135,22","2112,45","2091,62","4981,41","4867,48","5438,03","5051,68","4,37451","2,65444","-0,415687","-0,121044","-1,81393","259,367","-1,88821","0,880000000000001"
"2006,22","2144,66","2116,82","2080,19","5237,58","5112,07","5456,1","4960,15","4,41613","2,11282","-0,245958","-0,192322","-1,72329","259,544","0,216813","0,890000000000001"
"2009,07","2138,76","2111,35","2082,27","4966,34","5137,57","6902,11","6591,75","4,72826","2,36197","-0,108558","-0,239841","-1,8819","259,632","-1,88821","0,900000000000001"
"2019,51","2139,94","2110,26","2088,5","4288,24","4080,43","7324,4","8340,06","3,84388","2,47029","0,166242","-0,144803","-2,01786","259,721","-3,55338","0,910000000000001"
"2008,12","2145,84","2112,45","2079,15","4414,58","3872,95","8238,01",8903,"3,85429","2,0045","-0,140887","-0,180442","-1,51935","259,809","-0,223043","0,920000000000001"
"2008,12","2143,48","2110,26","2085,39","4223,33","3680,53","9941,99","10472,8","4,06238","2,10199","0,101583","-0,192322","-1,45137","259,898","3,17013","0,930000000000001"
"2018,56","2142,3","2113,54","2087,47","3841,96","3330,47","9131,9","10713,1","3,85429","2,17782","-0,0358169","-0,168563","-1,38339","259,986","0,185395","0,940000000000001"
"2010,97","2145,84","2113,54","2080,19","3872,1","3634,17","8995,51","9635,27","4,44734","2,05866","-0,100476","-0,239841","-0,805576","260,075","0,593832","0,950000000000001"
"2008,12","2143,48","2114,63","2087,47","3998,45","3929,74","10112,9","10555,2","4,76988","2,64361","-0,0600639","-0,168563","-1,31542","260,163","-4,37026","0,960000000000001"
"2017,62","2142,3","2117,91","2090,58","3633,32","3005,91","8548,57","9504,84","3,44851","2,92525","-0,173217","-0,121044","-0,239087","260,252","-3,55338","0,970000000000001"
"2011,92","2147,02","2117,91","2086,43","3613,61","2755,54","8395,76","8273,7","3,85429","2,29697","-0,302534","-0,144803","-0,10313","260,34","-0,191625","0,980000000000001"
"2007,17","2147,02","2117,91","2090,58","3577,68","2889,99","8826,27","9905,3","3,94793","2,037","-0,334863","-0,0854052","-0,805576","260,34","-1,44836","0,990000000000001"
"2017,62","2145,84","2124,47","2092,66","3462,92","2836,68","7066,42","9237,1","3,81267","2,037","-0,448016","-0,239841","-0,465683","260,429","-2,70509",1
"2011,92","2147,02","2121,19","2092,66","3414,24","3259,76","6777,22","7159,26","4,61381","2,06949","-0,375275","-0,216081","-0,60164","260,517","1,44213","1,01"
"2011,92","2148,2","2126,65","2095,78","4761,17","4330,8","6430,52","6218,74","4,45775","2,57861","-0,173217","-0,0972848","-1,51935","260,606","1,85056","1,02"
"2019,51","2149,38","2132,12","2097,86","4682,34","4637,98","5786,39","5518,51","3,99995","2,36197","-0,326781","-0,180442","-0,873554","260,783","-1,07134","1,03"
"2014,77","2148,2","2128,84","2095,78","4736,83","5295,2","5465,97","5012,78","5,95599","2,26448","-0,221711","-0,287359","-1,10015","260,871","2,29042","1,04"
"2012,87","2152,93","2129,93","2098,9","4697,42","5124,81","5551,41","5676,41","5,79992","3,28271","-0,0843109","-0,0972848","-1,45137","260,96","-0,223043","1,05"
"2023,31","2155,29","2129,93","2094,74","3785,16","4022,48","5963,85","6211,89","4,29128","2,68694","-0,0277346","-0,192322","-1,38339","261,137","-1,47977","1,06"
"2013,82","2154,11","2127,75","2095,78","3713,3","4253,14","7761,49","7914,43","5,41496","1,92868","0,0692535","-0,227961","-1,10015","261,225","-0,631481","1,07"
"2014,77","2152,93","2127,75","2097,86","3523,2","4133,75","8530,49","9719,95","5,0404","2,78443","0,222818","-0,121044","-1,51935","261,314","-0,191625","1,08"
"2021,41","2156,47","2128,84","2089,54","2562,26","2529,5","7146,94","8021,98","3,83348","2,58944","0,174324","-0,132924","-0,873554","261,402","-1,03992","1,09"
"2015,72","2150,56","2126,65","2096,82","2336,22","2084,39","8080,27","7605,49","4,39532","2,11282","0,166242","-0,121044","-0,669618","261,491","1,44213","1,1"
"2015,72","2154,11","2126,65","2103,06","2461,41","2458,8","8017,83","8536,86","4,13521","2,22115","0,295559","-0,0378866","-0,873554","261,579","1,00227","1,11"
"2019,51","2157,65","2132,12","2091,62","2674,7","2297,68","7081,21","8095,21","3,68782","2,36197","0,247065","-0,0972848","-0,465683","261,668","-2,70509","1,12"
"2018,56","2151,74","2129,93","2103,06","3532,47","3005,91","7138,73","6349,19","4,1144","2,09116","0,133912","-0,121044","-0,307066","261,756","1,44213","1,13"
"2019,51","2157,65","2132,12","2107,22","4151,45","4034,06","5866,9",5443,"3,93752","2,0045","0,206653","-0,00224772","-0,239087","261,756","0,593832","1,14"
"2019,51","2163,55","2134,3","2097,86","4076,11","4144,19","5119,25","4822,85","3,82308","2,15615","0,279394","-0,0735256","0,248093","261,845","-3,55338","1,15"
"2021,41","2154,11","2132,12","2102,02","4251,14","4148,82","5881,69","4923,53","3,86469","2,19948","0,287477","-0,0972848","-0,465683","261,933","-2,32807","1,16"
"2026,16","2158,83","2133,21","2108,25","4164,21","3714,14","6211,97","6790,84","3,69822","2,22115","0,150077","-0,0378866","-0,171109","261,933","1,00227","1,17"
"2023,31","2165,91","2134,3","2095,78","3976,42","3963,36","6607,97","7273,68","3,90631","2,12366","0,182406","-0,156683","-0,10313","262,022","1,00227","1,18"
"2023,31","2155,29","2131,02","2105,14","3891,81","4250,82","7906,09","9065,48","4,63462","2,30781","0,198571","-0,144803","-0,805576","262,11","2,73028","1,19"
"2028,06","2157,65","2134,3","2110,33","3898,76","3628,37","6846,24","8234,8","3,94793","2,32947","0,303641","-0,0854052","-0,465683","262,199","0,153976","1,2"
"2025,21","2165,91","2136,49","2102,02","4039,02","3595,91","6688,49","6296,55","3,8751","2,19948","0,109665","-0,0735256","-0,465683","262,199","-3,55338","1,21"
"2026,16","2157,65","2137,58","2108,25","4066,83","4056,09","7934,02","7690,17","3,96874","2,10199","0,133912","-0,0141274","-0,941533","262,287","3,92417","1,22"
"2031,86","2163,55","2138,67","2112,41","3870,94","3664,3","7074,64","8205,05","3,84388","2,22115","0,0692535","-0,0735256","-0,60164","262,376","0,593832","1,23"
"2025,21","2169,45","2138,67","2103,06","4226,8","3835,85","6749,29","7221,05","3,93752","2,05866","0,206653","-0,144803","-0,171109","262,376","1,00227","1,24"
"2031,86","2162,37","2140,86","2110,33","4396,03",4223,"7940,6","8136,4","3,97914","2,15615","0,0126771","-0,0378866","-0,873554","262,464","-2,73651","1,25"
"2037,56","2165,91","2143,05","2109,29","3868,62","3520,57","6928,4","7989,94","3,82308","2,21031","0,182406","-0,0972848","-0,60164","262,464","-2,32807","1,26"
"2027,11","2171,81","2140,86","2108,25","4304,46","4347,03","7263,6",8038,"4,38492","1,89618","0,0369241","-0,204202","-0,171109","262,553","-0,191625","1,27"
"2029,96","2164,73","2139,77","2113,45","4248,83","4839,66","8022,76","9102,08","4,43694","2,27531","0,222818","-0,0378866","-1,02084","262,641","3,10729","1,28"
"2038,51","2167,09","2146,32","2108,25","4261,57","4296,03","7110,79","7845,78","3,84388","2,29697","0,174324","-0,0972848","-0,60164","262,641","3,13871","1,29"
"2030,91","2175,35","2141,95","2111,37","4754,22","4861,69","7832,14","7582,61","4,44734","2,10199","0,133912","-0,180442","-0,533661","262,73","1,41071","1,3"
"2029,96","2171,81","2143,05","2113,45","4484,13","5339,26","8014,54","8767,99","4,71786","2,63277","0,319806","-0,0378866","-0,873554","262,818","-1,91963","1,31"
"2042,31","2170,63","2149,6","2109,29","4524,7","5401,85","7174,87","8548,3","4,06238","2,41613","0,287477","-0,109164","-0,60164","262,818","2,29042","1,32"
"2034,71","2175,35","2143,05","2113,45","4926,93","5689,31","8566,65","8408,71","4,94676","2,09116","0,465288","-0,109164","-0,239087","262,907","-3,55338","1,33"
"2032,81","2170,63","2144,14","2116,57","4964,01","5594,27","8939,65","9486,53","5,17565","2,94691","0,3683","0,0690301","-0,307066","262,995","2,66744","1,34"
"2042,31","2172,99","2148,51","2105,14","3959,03","3728,05","7996,46","8930,46","3,93752","2,71943","0,392547","0,0215116","0,0441571","263,084","-0,662899","1,35"
"2032,81","2174,17","2141,95","2110,33","3969,47","3677,05","9434,25","10001,4","4,50977","2,13449","0,416794","-0,0141274","0,112136","263,172","-0,223043","1,36"
"2029,96","2174,17","2144,14","2119,69","4003,09","3607,5","9427,67",11633,"3,96874","2,32947","0,344053","0,0571505","0,338731","263,26","1,85056","1,37"
"2041,36","2170,63","2146,32","2108,25","3836,17","3032,57",8542,"9337,79","3,51094","2,78443","0,26323","0,0571505","0,610646","263,26","-4,40167","1,38"
"2029,96","2176,53","2145,23","2114,49","3990,34","3377,99","8619,23","8303,45","3,99995","2,11282","0,158159","0,0333912","0,474688","263,349","-0,223043","1,39"
"2030,91","2178,89","2145,23","2122,81","4217,53","4012,04","7467,36","8079,19","3,84388","2,17782","0,238983","0,00963192","0,248093","263,349","1,00227","1,4"
"2036,61","2177,71","2151,79","2110,33","3716,77","3933,22","6829,81","7529,99","3,78146","2,06949","0,00459479","-0,0616459","0,474688","263,437","0,593832","1,41"
