t;nwl1;nwl2;nwl3;nwl4;fprd1;fprd2;fprd3;fprd4;pstr1;pstr3;astrw;g2;ny;vcrf;v2
0.29;1953.5314745915036;2068.7755457388926;2048.164306897625;2025.5343216530646;3213.801235404015;3207.5261777768137;7200.283691431266;7175.40239066382;3.679765711565434;2.0392714848981237;0.7473498410201296;-0.09914520419777402;-0.6021136263908733;253.68453510272226;0.21415820272105215
0.3;1954.2256935516739;2069.7073770493394;2048.8397735106855;2026.2069361004671;3158.504072747745;3106.0818329368385;7192.453652433243;7408.864191662851;3.678908108930715;2.039244929663053;0.7455460503455206;-0.09905288911691851;-0.5995466192763222;253.78012130175873;0.21290844512214274
0.31;1954.9650497483651;2070.694829181561;2049.5609027259566;2026.9327365567563;3234.351854701964;3149.0687250139435;7217.117292399362;7351.767721474411;3.6780103048186947;2.0392425811348183;0.7445510183281241;-0.09895103052206815;-0.5966655663837198;253.87476423221653;0.21165318077800785
0.32;1955.7344331975944;2071.719785680176;2050.307970586589;2027.6832532371907;3320.5253806682726;3282.071608114494;7260.173764466026;7332.304816607566;3.677085026781924;2.0392531374521727;0.7433890012394698;-0.09884291524903567;-0.5935791797182773;253.96752954847247;0.21039311708170044
0.33;1956.543156254952;2072.79344104048;2051.092884773675;2028.4754455012485;3463.9214706374382;3568.514152656644;7329.629313080657;7228.000439731507;3.676124224189244;2.0392833486574755;0.7426226174177151;-0.09872653444800404;-0.5902206288441432;254.05801622527642;0.20912784117623753
0.34;1957.3655153886903;2073.884859059496;2051.8807948364874;2029.2578567597147;3575.4238833350364;3757.8080780221203;7415.2430874727615;7308.875011923772;3.6751514896693402;2.0393155711079163;0.7404047049806154;-0.09860732364385671;-0.5867717823450321;254.14908211689504;0.20785825635307217
0.35;1958.1999721616;2074.9921992055024;2052.6693922323034;2030.0268833536893;3639.6205339826856;3846.180139648805;7516.780658019504;7623.111295357832;3.6741682187125813;2.0393487067351894;0.7365908177627435;-0.09848560967024016;-0.5832434575738171;254.24056023532827;0.206584413905593
0.36;1959.0671908197023;2076.140324062138;2053.485872893344;2030.82196711023;3738.456849609904;4019.9926950950876;7647.038467242472;7943.2465274275855;3.6731559334641153;2.039397278247152;0.7325436328124459;-0.0983569837830058;-0.5794884718947675;254.33064774740964;0.20530550070840708
0.37;1959.9616334200116;2077.3225731154275;2054.322483497113;2031.631446993611;3848.716745576444;4228.844776449893;7804.693287303847;8343.518284536854;3.6721197808222668;2.0394575115298963;0.7278283467841455;-0.09822261212476271;-0.5755458278240746;254.41984769985697;0.20402169691408364
0.38;1960.796597868096;2078.4240841079854;2055.1378320035897;2032.4152820911854;3854.6722964774463;4212.783183230979;7909.007861901624;8685.709137725646;3.6710761166104326;2.039484698353417;0.7245351609474044;-0.09809278642097573;-0.5731912842669217;254.510017977511;0.2027377404492801
0.39;1961.5657317350056;2079.4361305299794;2055.9307645619365;2033.1736072091662;3753.4665845550576;3968.4501612665745;7954.498735961524;8936.291852308788;3.6700244366076182;2.039476110859102;0.7230071473430203;-0.09796800844746995;-0.5725890453641573;254.60112291872218;0.20145399582916307
0.4;1962.305859524504;2080.407952108263;2056.715175012019;2033.9167066818702;3581.3468841050394;3585.344810608589;7979.146805747391;9221.57772376522;3.6689606306803313;2.039450176565783;0.7219359386747224;-0.0978442394743386;-0.5729349435610266;254.6925833623368;0.20016834935856243
0.41;1962.9925535411369;2081.3070878539875;2057.4798585220396;2034.6339386634918;3306.857914195129;2995.4678428740017;7961.007428229106;9500.058878727104;3.6678888166096835;2.0393945116633585;0.7219493206298382;-0.09772429286317172;-0.5747401683115249;254.7848640697401;0.19888212975767897
0.42;1963.6807657878135;2082.2056951719287;2058.2551251057807;2035.3574565586484;3248.9752532359175;2826.6899934831886;7951.078028619096;9496.491124603921;3.666794962217391;2.0393385003053037;0.7221424187165811;-0.09760113096410092;-0.5769503893001863;254.87625123681795;0.19759239148422783
0.43;1964.3722663665526;2083.1061096747344;2059.0415515489435;2036.0873939476912;3432.636023512007;3129.827805937609;7952.502438298024;9192.787659931144;3.665678794602494;2.039283151926791;0.7224286160156334;-0.09747452320137194;-0.5795304260169775;254.96666929640892;0.19629901254069876
0.44;1965.0175029131601;2083.942877608592;2059.813930971178;2036.798058245544;3677.4425643223353;3545.82345267891;7920.732428296723;8681.742789460226;3.664550895972077;2.039202690616021;0.7238270235019114;-0.09735049331830549;-0.5834736768501706;255.0573611957626;0.19500465594813587
0.45;1965.6266877751248;2084.729357730496;2060.577991422478;2037.4954181358141;4067.149543281092;4239.838522451048;7866.282942871487;7883.4123035468065;3.6634084500125943;2.0391027184510784;0.7261679871599787;-0.09722768353996249;-0.5885898560453329;255.14795202835748;0.19370876043919472
0.46;1966.2549415056976;2085.5394494735015;2061.3536375061612;2038.1935453850272;4216.9295846761015;4575.957404796524;7855.083067256681;7516.75802931863;3.6622460206348966;2.03901028618944;0.7274113278636761;-0.09710021564972592;-0.5936559807750941;255.23859671709224;0.1924081937332477
0.47;1966.8999325039094;2086.370110605652;2062.139134995948;2038.89008588361;4085.4429769835315;4484.458769864555;7887.554349447574;7635.4076123398345;3.6610644003048662;2.0389241834777816;0.7275324038469672;-0.09696839068193429;-0.5987149051870352;255.3294428501065;0.19110305530321076
0.48;1967.5409143208863;2087.1932778220735;2062.9282798911927;2039.5816852509554;3927.382004182286;4397.310203780483;7939.20270781254;7821.8186211606535;3.659864353645016;2.03883472351917;0.7274182691109142;-0.096834210735142;-0.6042542028621101;255.42015096321467;0.18979452035733038
0.49;1968.190365766703;2088.0256881339415;2063.7252959369025;2040.2708805929722;3641.2031605944603;4148.283798232231;8026.739672134574;8261.759031819682;3.6586447556749215;2.0387480707352568;0.7265656207421585;-0.09669634089662475;-0.6099964138203898;255.51079653585873;0.188481861433686
0.5;1968.801185949496;2088.8044362814567;2064.5109300783834;2040.941375574725;3425.1321009896974;3921.070614928312;8100.106059989195;8547.394255975247;3.657411796964485;2.0386408512750216;0.7264492471718442;-0.09655996947323595;-0.6169605499430579;255.60012420267986;0.18716768367641318
0.51;1969.369712264024;2089.5245746949195;2065.2837880537345;2041.5918898026202;3311.2583966776556;3757.8344129936363;8156.823376304448;8627.942794364744;3.6561657242149748;2.0385113999026143;0.7271817942886267;-0.09642544506799154;-0.6252321055402738;255.68795928491195;0.1858521748397156
