t;nwl1;nwl2;nwl3;nwl4;fprd1;fprd2;fprd3;fprd4;pstr1;pstr3;astrw;g2;ny;vcrf;v2
0.38;1967.079125325096;2091.7069476843667;2070.158141661635;2042.9112797450523;4365.014189247334;4634.722066706061;7384.561988819594;7502.385126602856;3.9872178765581436;2.5991861633465954;-0.34391661002964113;-0.14616315301196403;-1.1755836759301064;255.50619324316654;0.3337506234774038
0.39;1967.765894859339;2092.6302887833394;2070.946375597954;2043.7582324439861;4298.597383997774;4482.693715538741;7477.018213858363;7737.9072021783095;3.9919719520406853;2.5992237769094593;-0.3418349623691823;-0.14636387647685278;-1.1664772171990503;255.58260130601687;0.33234048296031543
0.4;1968.4469977801596;2093.535858009092;2071.7254121234964;2044.576563678828;4200.450689263956;4291.2847179199425;7601.256478112158;8067.083884891712;4.0013045777484235;2.599256555801017;-0.3380743581792147;-0.14655003773370018;-1.1511654121418189;255.65674227761085;0.33092729966902057
0.41;1969.1113148104287;2094.40790368288;2072.4820394866306;2045.3422727963018;4030.349818168875;3946.638584357489;7775.1395579643495;8538.876130486946;4.017806721561888;2.5993028346067266;-0.33177342440135216;-0.14671222597975866;-1.1262967025907156;255.72888603058382;0.3295098847470933
0.42;1969.7858323989697;2095.2860293127983;2073.245875045329;2046.1088202944238;3865.535154655983;3668.4595954109554;7892.064321419722;8705.121926612015;4.036570655648972;2.599310859689314;-0.32468973617914204;-0.14687115793860134;-1.0982755868987024;255.79679456648827;0.3280915688462923
0.43;1970.4714027860052;2096.1710270739895;2074.0179461708435;2046.8779355179777;3715.4810652175843;3491.172156017758;7942.679826912658;8527.423452168088;4.057384284957169;2.599279260878777;-0.3168873932349452;-0.1470274728511795;-1.0673645991065637;255.86024142509595;0.32667243681798513
0.44;1971.1445751133163;2097.028848639199;2074.771532063296;2047.6011741108475;3507.8447889374693;3213.0207096068093;7994.057804454745;8262.642816583577;4.085064729428352;2.5992500950743396;-0.3067035360173575;-0.14716227137980134;-1.027301090759517;255.9204424182113;0.32524977150967427
0.45;1971.810486174709;2097.8668346966797;2075.5121751549523;2048.2884401499437;3260.417313731789;2889.3129988064265;8018.663308714314;7791.756923384979;4.118728269209803;2.5992132241145227;-0.2944573524961675;-0.1472793557884399;-0.9792339676361473;255.97677766210018;0.3238242219788282
0.46;1972.4928339465962;2098.715372525104;2076.2701443519873;2048.994303506736;3127.7099926948276;2727.7544296011156;7881.806328960183;7419.211599090029;4.151923961913345;2.599135502588206;-0.29006465357186306;-0.14762077122005382;-0.9557741059326003;256.0446040663972;0.3223979352018639
0.47;1973.1904430959078;2099.5722544367595;2077.0442620934164;2049.7165092631844;3115.900340950766;2726.2118483110935;7572.318202430606;7178.805102223111;4.184826367778727;2.5990194804953646;-0.29426425680229046;-0.14820832398861697;-0.9591873796572726;256.1254797047646;0.32097074345129784
0.48;1973.8949605016508;2100.427014331004;2077.823140097438;2050.4343648399213;3164.6670008946985;2828.767528933736;7129.429306284524;6821.425237976351;4.220079806954177;2.598874740004136;-0.30256392407839067;-0.14893068287695163;-0.9747110946475069;256.21164836802114;0.3195420176030146
0.49;1974.6117451883374;2101.286184257897;2078.6136870565715;2051.160229550323;3315.5194461727733;3089.3035992456066;6511.728955137599;6420.700438748227;4.256204361347164;2.598693950322378;-0.31772103689729964;-0.14985695081186828;-1.011325886013387;256.30748303290716;0.31811222982889714
0.5;1975.3200308950723;2102.1215692116684;2079.3902563355286;2051.847625693007;3463.184453825431;3349.8657479022568;6110.351654764608;6062.086720502277;4.298431544468389;2.598508650135261;-0.3335318362979279;-0.15084264665918426;-1.0483630672780295;256.40428099740296;0.3166793340669232
0.51;1976.0183374656244;2102.930952722804;2080.150897080963;2052.492905306248;3603.8501395983794;3609.13004448628;5952.439179231509;5727.993022204765;4.347206181857665;2.5983207121284573;-0.3497032409806516;-0.15188205891318982;-1.0847769511491077;256.5015347610318;0.3152432046751674
0.52;1976.7210886855685;2103.7330786195516;2080.9136544478065;2053.12855681359;3826.7329639339305;3994.108035822967;5811.381835295865;5433.088231173615;4.398799633050225;2.5981088588157366;-0.37178602774092934;-0.15310994872511893;-1.1388179616218232;256.60749992968175;0.31380521665478656
0.53;1977.4233417249138;2104.520997243906;2081.6723910957303;2053.7433643354925;4111.197581517892;4475.253337822668;5787.234621736725;5196.226922955654;4.4544823970935274;2.5978804849377606;-0.3985696171606789;-0.1544995475668706;-1.2063789292832794;256.7204948213411;0.31236488719678807
0.54;1978.1581212060776;2105.344496070324;2082.462946295934;2054.4022397748604;4271.76988807116;4714.09368346217;6069.972945588562;5526.978275449417;4.466560237344528;2.597570192751838;-0.3858915429835013;-0.15482948455398315;-1.2397663177760199;256.8208676276987;0.31092642186721337
0.55;1978.9299885240498;2106.2098962774717;2083.2904848853627;2055.114420669668;4302.460615876055;4694.534083901407;6673.847075058363;6491.855273487406;4.429822223155518;2.5971695810348354;-0.33006048158092977;-0.15399634469368095;-1.23680394549618;256.9079307363082;0.30949035842134975
0.56;1979.7196209628548;2107.0882210624236;2084.1334271642;2055.8406592387432;4278.247405227119;4558.675357235299;7597.39392777619;7846.499927746569;4.367568866702717;2.596715010336463;-0.25106238454114593;-0.15255833226606028;-1.2174681067439146;256.99001635646437;0.30805435027832256
0.57;1980.536674931886;2107.9937504000964;2085.00227661406;2056.5998912623213;4150.413556809965;4215.584351228123;8906.525673714166;9747.61609609273;4.265895539261983;2.5961874125021884;-0.1363954957542222;-0.15016980963767354;-1.1689956468871106;257.06199565018835;0.30661962104282603
0.58;1981.3652010001185;2108.901379894316;2085.8801716953785;2057.361369058705;4051.591670488383;3950.2733854211247;9578.851373151552;10802.213596750582;4.151363845303657;2.5956197093271007;-0.07682362721419612;-0.14757177868712046;-1.1239823721041224;257.1375776803237;0.30518404961020035
0.59;1982.2038500910476;2109.808825812159;2086.7655467032187;2058.122134107713;3988.4224507522063;3779.3693907988163;9546.971466267194;10614.238513987357;4.025079118207186;2.595014235541042;-0.08000003286953816;-0.14479533392370178;-1.0840121184171974;257.217555911862;0.3037474814824768
0.6;1983.0692260240364;2110.741215898445;2087.6761934311057;2058.9143629795103;3852.7773457173835;3482.9246157705147;9366.359361167302;10287.22885212955;3.8610709562951544;2.5943373983660325;-0.09136415551850277;-0.1411591043513269;-1.021695876551096;257.2907164998142;0.3023120741653638
0.61;1983.9582350572814;2111.6934432875905;2088.6087997710547;2059.7319193984013;3672.307634150211;3123.6125238813893;8771.761164406904;9325.037488857986;3.664113765084821;2.593595436798644;-0.13457043583560221;-0.13680281578947984;-0.9436814606683609;257.3599704184619;0.30087742243552584
0.62;1984.8416365676508;2112.6220568257495;2089.530489306283;2060.5150768688954;3582.0794623297556;2975.6864519289393;8289.077460621276;8639.381974679918;3.5692780139070206;2.5928427598165396;-0.17074438590148003;-0.13785218214412936;-0.9084256872883507;257.4347270557314;0.29944001606735754
0.63;1985.7192555342915;2113.526620603837;2090.44091177838;2061.2630849450907;3581.715781838351;3042.1381577397146;7973.997621840452;8332.721396654713;3.5859497410434464;2.5920792028365716;-0.19441047279605822;-0.14482756785519985;-0.9181208620403849;257.51450353427606;0.29799986121728594
0.64;1986.6033109006103;2114.4247224777523;2091.3538628534325;2062.000828512226;3625.672133548964;3238.463362579924;7343.68432874705;7622.605964765455;3.6530005273599766;2.591282168104008;-0.2444776801748666;-0.15493525609252518;-0.9494740831106948;257.5967946219905;0.29655841060866356
0.65;1987.4866093687892;2115.30549098316;2092.261180843273;2062.7133913911375;3748.235331118186;3637.545830493737;6515.637131638105;6720.061368406104;3.807630191889756;2.59046479725397;-0.31200275060952726;-0.1699105988276914;-1.0180548219638876;257.6838425045065;0.2951148131986306
0.66;1988.390769525493;2116.200820852338;2093.1868383771025;2063.4441288609423;3842.5852338404543;3916.8862302936172;6006.993073370642;6101.614651301386;3.9642370305678165;2.589585805361695;-0.33722203004967954;-0.1765499871595653;-1.0826971916011638;257.77036401435373;0.2936717244133832
0.67;1989.3173362685054;2117.1127121854847;2094.1325049338457;2064.1959479047327;3904.4782983044643;4061.27151588422;5805.00787508557;5721.722100623939;4.1184970612696326;2.5886420864549233;-0.3195545778011218;-0.17372372394839308;-1.1416054123121875;257.8563686198139;0.2922293403162057
0.68;1990.2496865510573;2118.016250291326;2095.07954171572;2064.934931367496;4016.469105096837;4293.230334522167;5744.551300949058;5507.540506221933;4.346004883013776;2.5876647169120943;-0.2811772151385521;-0.16928672769494973;-1.2289111032945899;257.9464401102187;0.2907856545669593
0.69;1991.19272865546;2118.9184652800845;2096.033336890642;2065.670731272104;4156.2238845631655;4539.807056907602;5951.941454464487;5569.082158952495;4.6297552137494025;2.586644138407545;-0.2068521391043208;-0.15977631869108178;-1.3362627641971994;258.03967567029525;0.28934127879561905
0.7;1992.092949368115;2119.820728263374;2096.949415165322;2066.4159662822494;4222.813160284771;4654.50762267242;6193.34258798268;5724.644943803648;4.751037026714601;2.5856832486611703;-0.15454045053975785;-0.15389619836071466;-1.3869676591861728;258.12820786983616;0.2878898728207383
