t;nwl1;nwl2;nwl3;nwl4;fprd1;fprd2;fprd3;fprd4;pstr1;pstr3;astrw;g2;ny;vcrf;v2
0.31;1929.713184018662;2055.0351104535193;2026.0470158574594;1999.0718778663895;3760.035174149793;3528.498404187207;7537.940334401928;8186.7713051847695;4.047385113282898;3.2913061221740363;1.2907767800863335;-0.1480600606480061;-1.202503554506341;250.35240159133326;-1.0573372409855482
0.32;1930.5745395393171;2055.9610257554405;2026.8897396678904;1999.8073994594645;3752.3081183124305;3583.783493231855;7639.386882214104;8278.971171111216;4.077006734610197;3.3677131910346807;1.296851472092194;-0.14730834262876571;-1.1985428505643518;250.43106291402435;-1.0561878827359392
0.33;1931.4806679479998;2056.9191262767336;2027.7754991241648;2000.5796641107124;3744.2011542225723;3619.7947313067402;7844.390443846451;8461.693489657799;4.108684835079037;3.4481703001945285;1.3037700007053414;-0.14649007278249318;-1.1939581527533505;250.5184943962155;-1.055061060868303
0.34;1932.4021664347572;2057.896161229;2028.6761921325772;2001.3647939952764;3735.144276679101;3748.5348675547743;7946.987401754211;8538.50339191022;4.142048571456806;3.5346326254095266;1.3096201817768476;-0.14565297039847924;-1.1905529728707511;250.6006703489234;-1.0539396758275252
0.35;1933.3372732351515;2058.891432794375;2029.590137022799;2002.1613610233617;3725.0849094858963;3658.1628914241865;7906.987755811996;8468.540820724133;4.17709910371924;3.6273211108577725;1.3142589591626843;-0.1447999115548957;-1.1884648606638195;250.67649414850604;-1.0528226998104588
0.36;1934.3096302655076;2059.915873426492;2030.5399254210888;2002.9885619801269;3714.4141881660275;3398.460434181002;7913.662788903509;8433.31924611464;4.214218575028373;3.7250398073523496;1.3191202314163455;-0.1438926223998582;-1.1863515422540867;250.75773348802437;-1.051723847188099
0.37;1935.3129020500203;2060.9667220965407;2031.5195026445306;2003.8412529142652;3702.989172378303;3271.0372541919664;7910.828358522051;8378.012386284032;4.253352418882148;3.828323001873273;1.3237609072796528;-0.1429414085903474;-1.1846338770067382;250.84129654212924;-1.0506394265251864
0.38;1936.221049331884;2061.962493949226;2032.4396609533615;2004.6530257255397;3699.8364603702516;3154.0326611855858;7894.267804361144;8347.627395375563;4.284632350978162;3.8999455279748405;1.3298853033210252;-0.1420196810779969;-1.1808432495132577;250.92226334791297;-1.0495433567237484
0.39;1937.024041454825;2062.8962639490446;2033.2940297902153;2005.4194346901431;3705.911036814744;3206.552095775658;7882.789843274038;8364.605387636202;4.307118827563188;3.936054883579096;1.3378121033675316;-0.14113026129033676;-1.1745950949484203;251.00161728003783;-1.0484346507013065
0.4;1937.7765562142126;2063.8043748322043;2034.120259490426;2006.168082658262;3716.8759764315923;3306.017440844248;7833.371853497447;8363.250182626209;4.325415956637713;3.9545326996172454;1.3464141132510814;-0.14024575039827192;-1.167360329860323;251.079580124438;-1.047323023529947
